YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,INVOLVED,RELATED,Neighbourh
2010,2010-07-25 4:00:00 AM,1340,13,MAPLEBRANCH PATH,DIXON RD,,MAJOR ARTERIAL,ETOBICOKE YORK,43.697445,-79.54519,INTERSECTION,AT INTERSECTION,STOP SIGN,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,15 to 19,MAJOR,EAST,BICYCLE,GOING AHEAD,,,,,,"Motorist turns right at non-signal Inter.(stop, yield, no cont.,and dwy) and strikes cyclist.",Failed to Yield Right of Way,Inattentive,"CYCLIST,AUTOMOBILE",AGGRESIVE AND DISTRACTED,Kingsview Village-The Westway (6)
2016,2016-07-24 4:00:00 AM,1349,13,VICTORIA PARK AVE,HIGHWAY 401 C  W,5 m South of,EXPRESSWAY,SCARBOROUGH,43.768347,-79.319797,MID-BLOCK,NON INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,25 to 29,NONE,SOUTH,BICYCLE,MERGING,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Failed to Yield Right of Way,Unknown,"CYCLIST,MOTORCYCLE",,Parkwoods-Donalda (45)
2016,2016-07-24 4:00:00 AM,1349,13,VICTORIA PARK AVE,HIGHWAY 401 C  W,5 m South of,EXPRESSWAY,SCARBOROUGH,43.768347,-79.319797,MID-BLOCK,NON INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,MOTORCYCLE DRIVER,55 to 59,MAJOR,EAST,MOTORCYCLE,GOING AHEAD,LOST CONTROL,NORMAL,,,,,,,"CYCLIST,MOTORCYCLE",,Parkwoods-Donalda (45)
2011,2011-07-28 4:00:00 AM,1354,13,4277 LAWRENCE AVE E,,,MINOR ARTERIAL,SCARBOROUGH,43.770045,-79.17909,MID-BLOCK,,NO CONTROL,RAIN,DAYLIGHT,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,35 to 39,NONE,NORTH,"AUTOMOBILE, STATION WAGON",SLOWING OR STOPPING,FAILED TO YIELD RIGHT OF WAY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",AGGRESIVE AND DISTRACTED,West Hill (136)
2011,2011-07-28 4:00:00 AM,1354,13,4277 LAWRENCE AVE E,,,MINOR ARTERIAL,SCARBOROUGH,43.770045,-79.17909,MID-BLOCK,,NO CONTROL,RAIN,DAYLIGHT,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,35 to 39,MAJOR,EAST,BICYCLE,GOING AHEAD,,,,,,"Motorist without ROW drives into path of cyclist at inter, lnwy, dwy-Driver not turn.",Driving Properly,Other,"CYCLIST,AUTOMOBILE",AGGRESIVE AND DISTRACTED,West Hill (136)
2008,2008-06-13 4:00:00 AM,1400,14,COLLEGE ST,CRAWFORD ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.655145,-79.41899,INTERSECTION,,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,VEHICLE OWNER,unknown,,,OTHER,,,,,,,,,,"CYCLIST,AUTOMOBILE",,Trinity-Bellwoods (81)
2008,2008-06-13 4:00:00 AM,1400,14,COLLEGE ST,CRAWFORD ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.655145,-79.41899,INTERSECTION,,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,60 to 64,NONE,WEST,TAXI,CHANGING LANES,IMPROPER LANE CHANGE,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Trinity-Bellwoods (81)
2008,2008-06-13 4:00:00 AM,1400,14,COLLEGE ST,CRAWFORD ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.655145,-79.41899,INTERSECTION,,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,50 to 54,MAJOR,WEST,BICYCLE,GOING AHEAD,,,,,,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Driving Properly,Normal,"CYCLIST,AUTOMOBILE",,Trinity-Bellwoods (81)
2016,2016-09-04 4:00:00 AM,1400,14,GERRARD ST E,RIVER ST,80 m East of,MINOR ARTERIAL,TORONTO AND EAST YORK,43.663905,-79.358226,MID-BLOCK,NON INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,65 to 69,MAJOR,WEST,BICYCLE,CHANGING LANES,,,,,,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Improper Lane Change,Inattentive,"CYCLIST,AUTOMOBILE,PASSENGER",,Regent Park (72)
2016,2016-09-04 4:00:00 AM,1400,14,GERRARD ST E,RIVER ST,80 m East of,MINOR ARTERIAL,TORONTO AND EAST YORK,43.663905,-79.358226,MID-BLOCK,NON INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,20 to 24,NONE,WEST,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE,PASSENGER",,Regent Park (72)
2016,2016-09-04 4:00:00 AM,1400,14,GERRARD ST E,RIVER ST,80 m East of,MINOR ARTERIAL,TORONTO AND EAST YORK,43.663905,-79.358226,MID-BLOCK,NON INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,PASSENGER,20 to 24,NONE,,,,,,,,,,,,"CYCLIST,AUTOMOBILE,PASSENGER",,Regent Park (72)
2011,2011-12-27 5:00:00 AM,1404,14,ST CLAIR AVE W,EARLSCOURT AVE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.677045,-79.44739,INTERSECTION,,TRAFFIC SIGNAL,RAIN,DAYLIGHT,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,25 to 29,MAJOR,WEST,"AUTOMOBILE, STATION WAGON",CHANGING LANES,IMPROPER LANE CHANGE,INATTENTIVE,,,,,,,"CYCLIST,AUTOMOBILE",,Corso Italia-Davenport (92)
2011,2011-12-27 5:00:00 AM,1404,14,ST CLAIR AVE W,EARLSCOURT AVE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.677045,-79.44739,INTERSECTION,,TRAFFIC SIGNAL,RAIN,DAYLIGHT,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,unknown,MINIMAL,WEST,BICYCLE,GOING AHEAD,,,,,,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Speed too Fast For Condition,Normal,"CYCLIST,AUTOMOBILE",,Corso Italia-Davenport (92)
2011,2011-06-15 4:00:00 AM,1405,14,DUPONT STRE,CAMPBELL AVEN,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.665946,-79.450092,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,SIDESWIPE,VEHICLE OWNER,unknown,,,,,,,,,,,,,"CYCLIST,AUTOMOBILE",,Dovercourt-Wallace Emerson-Junction (93)
2011,2011-06-15 4:00:00 AM,1405,14,DUPONT STRE,CAMPBELL AVEN,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.665946,-79.450092,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,SIDESWIPE,DRIVER,75 to 79,NONE,WEST,"AUTOMOBILE, STATION WAGON",TURNING RIGHT,IMPROPER TURN,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Dovercourt-Wallace Emerson-Junction (93)
2011,2011-06-15 4:00:00 AM,1405,14,DUPONT STRE,CAMPBELL AVEN,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.665946,-79.450092,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,SIDESWIPE,MOPED DRIVER,35 to 39,MAJOR,WEST,MOPED,GOING AHEAD,,,,,,,,,"CYCLIST,AUTOMOBILE",,Dovercourt-Wallace Emerson-Junction (93)
2012,2012-11-26 5:00:00 AM,1405,14,QUEEN ST W,BAY ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.651645,-79.38279,MID-BLOCK,,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,40 to 44,NONE,EAST,"AUTOMOBILE, STATION WAGON",STOPPED,OTHER,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Bay Street Corridor (76)
2012,2012-11-26 5:00:00 AM,1405,14,QUEEN ST W,BAY ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.651645,-79.38279,MID-BLOCK,,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,45 to 49,MAJOR,EAST,BICYCLE,GOING AHEAD,,,,,,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Improper Passing,Inattentive,"CYCLIST,AUTOMOBILE",,Bay Street Corridor (76)
2008,2008-05-26 4:00:00 AM,1410,14,KING ST W,YORK ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.648345,-79.38179,MID-BLOCK,AT INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,PASSENGER,40 to 44,NONE,,OTHER,,,,,,,,,,"CYCLIST,AUTOMOBILE,PASSENGER",,Bay Street Corridor (76)
2008,2008-05-26 4:00:00 AM,1410,14,KING ST W,YORK ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.648345,-79.38179,MID-BLOCK,AT INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,VEHICLE OWNER,unknown,,,OTHER,,,,,,,,,,"CYCLIST,AUTOMOBILE,PASSENGER",,Bay Street Corridor (76)
2008,2008-05-26 4:00:00 AM,1410,14,KING ST W,YORK ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.648345,-79.38179,MID-BLOCK,AT INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,50 to 54,NONE,WEST,"AUTOMOBILE, STATION WAGON",TURNING LEFT,OTHER,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE,PASSENGER",,Bay Street Corridor (76)
2008,2008-05-26 4:00:00 AM,1410,14,KING ST W,YORK ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.648345,-79.38179,MID-BLOCK,AT INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,20 to 24,MAJOR,,BICYCLE,UNKNOWN,,,,,,Cyclist struck opened vehicle door,Driving Properly,Normal,"CYCLIST,AUTOMOBILE,PASSENGER",,Bay Street Corridor (76)
2014,2014-12-20 5:00:00 AM,1410,14,OSSINGTON AVE,BLOOR ST W,15 m South of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.661971,-79.425647,INTERSECTION,NON INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,55 to 59,NONE,SOUTH,"AUTOMOBILE, STATION WAGON",OVERTAKING,IMPROPER PASSING,INATTENTIVE,,,,,,,"CYCLIST,AUTOMOBILE,PASSENGER",AGGRESIVE AND DISTRACTED,Palmerston-Little Italy (80)
2014,2014-12-20 5:00:00 AM,1410,14,OSSINGTON AVE,BLOOR ST W,15 m South of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.661971,-79.425647,INTERSECTION,NON INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,25 to 29,MAJOR,SOUTH,BICYCLE,GOING AHEAD,,,,,,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Driving Properly,Normal,"CYCLIST,AUTOMOBILE,PASSENGER",AGGRESIVE AND DISTRACTED,Palmerston-Little Italy (80)
2014,2014-12-20 5:00:00 AM,1410,14,OSSINGTON AVE,BLOOR ST W,15 m South of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.661971,-79.425647,INTERSECTION,NON INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,PASSENGER,55 to 59,NONE,,,,,,,,,,,,"CYCLIST,AUTOMOBILE,PASSENGER",AGGRESIVE AND DISTRACTED,Palmerston-Little Italy (80)
2014,2014-10-09 4:00:00 AM,1410,14,WARDEN AVE,MARBLE ARCH CRES,,MAJOR ARTERIAL,SCARBOROUGH,43.735335,-79.290637,INTERSECTION,NON INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,FATAL,CYCLIST COLLISIONS,DRIVER,45 to 49,NONE,NORTH,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DISOBEYED TRAFFIC CONTROL,INATTENTIVE,,,,,,,"CYCLIST,AUTOMOBILE","AGGRESIVE AND DISTRACTED,REDLIGHT",Wexford/Maryvale (119)
2014,2014-10-09 4:00:00 AM,1410,14,WARDEN AVE,MARBLE ARCH CRES,,MAJOR ARTERIAL,SCARBOROUGH,43.735335,-79.290637,INTERSECTION,NON INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,FATAL,CYCLIST COLLISIONS,CYCLIST,60 to 64,FATAL,EAST,BICYCLE,GOING AHEAD,,,,,,"Motorist without ROW drives into path of cyclist at inter, lnwy, dwy-Driver not turn.",Driving Properly,Normal,"CYCLIST,AUTOMOBILE","AGGRESIVE AND DISTRACTED,REDLIGHT",Wexford/Maryvale (119)
2016,2016-09-01 4:00:00 AM,1413,14,ROGERS RD,KANE AVE,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.682048,-79.46651,INTERSECTION,INTERSECTION RELATED,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,60 to 64,MAJOR,SOUTH,BICYCLE,GOING AHEAD,,,,,,Cyclist turned left across motorists path.,Failed to Yield Right of Way,Normal,"CYCLIST,AUTOMOBILE",AGGRESIVE AND DISTRACTED,Keelesdale-Eglinton West (110)
2016,2016-09-01 4:00:00 AM,1413,14,ROGERS RD,KANE AVE,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.682048,-79.46651,INTERSECTION,INTERSECTION RELATED,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,70 to 74,NONE,EAST,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",AGGRESIVE AND DISTRACTED,Keelesdale-Eglinton West (110)
2008,2008-01-26 5:00:00 AM,1415,14,79 BLOOR ST W,,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.669543,-79.389987,MID-BLOCK,,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,PEDESTRIAN COLLISIONS,CYCLIST,unknown,NONE,EAST,BICYCLE,GOING AHEAD,,,,,,Cyclist strikes pedestrian.,Failed to Yield Right of Way,Inattentive,"CYCLIST,PEDESTRIAN",,Bay Street Corridor (76)
2008,2008-01-26 5:00:00 AM,1415,14,79 BLOOR ST W,,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.669543,-79.389987,MID-BLOCK,,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,PEDESTRIAN COLLISIONS,PEDESTRIAN,75 to 79,MAJOR,WEST,,,,,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,,,,"CYCLIST,PEDESTRIAN",,Bay Street Corridor (76)
2012,2012-10-12 4:00:00 AM,1415,14,FIFTH STRE,LAKE SHORE BOUL W,,MAJOR ARTERIAL,ETOBICOKE YORK,43.601245,-79.502986,INTERSECTION,,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,60 to 64,NONE,NORTH,"AUTOMOBILE, STATION WAGON",GOING AHEAD,OTHER,UNKNOWN,,,,,,,"CYCLIST,AUTOMOBILE",,New Toronto (18)
2012,2012-10-12 4:00:00 AM,1415,14,FIFTH STRE,LAKE SHORE BOUL W,,MAJOR ARTERIAL,ETOBICOKE YORK,43.601245,-79.502986,INTERSECTION,,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,30 to 34,MAJOR,EAST,BICYCLE,GOING AHEAD,,,,,,Insufficient information (to determine cyclist crash type).,Other,Unknown,"CYCLIST,AUTOMOBILE",,New Toronto (18)
2012,2012-01-26 5:00:00 AM,1417,14,DANFORTH AVE,ROYAL DR,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.675945,-79.35989,MID-BLOCK,,NO CONTROL,RAIN,DAYLIGHT,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,VEHICLE OWNER,unknown,,,OTHER,,,,,,,,,,"CYCLIST,AUTOMOBILE",,North Riverdale (68)
2012,2012-01-26 5:00:00 AM,1417,14,DANFORTH AVE,ROYAL DR,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.675945,-79.35989,MID-BLOCK,,NO CONTROL,RAIN,DAYLIGHT,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,50 to 54,NONE,EAST,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,North Riverdale (68)
2012,2012-01-26 5:00:00 AM,1417,14,DANFORTH AVE,ROYAL DR,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.675945,-79.35989,MID-BLOCK,,NO CONTROL,RAIN,DAYLIGHT,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,20 to 24,MAJOR,EAST,BICYCLE,CHANGING LANES,,,,,,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Following too Close,Normal,"CYCLIST,AUTOMOBILE",,North Riverdale (68)
2010,2010-07-06 4:00:00 AM,1420,14,DUNDAS ST E,CHURCH ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.656445,-79.37709,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,50 to 54,NONE,EAST,"AUTOMOBILE, STATION WAGON",TURNING RIGHT,IMPROPER TURN,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Church-Yonge Corridor (75)
2010,2010-07-06 4:00:00 AM,1420,14,DUNDAS ST E,CHURCH ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.656445,-79.37709,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,50 to 54,MAJOR,EAST,BICYCLE,GOING AHEAD,,,,,,Motorist turning right on green or amber at signalized intersection strikes cyclist.,Driving Properly,Normal,"CYCLIST,AUTOMOBILE",,Church-Yonge Corridor (75)
2015,2015-05-28 4:00:00 AM,1420,14,BATHURST ST,FRONT ST W,25 m South of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.641295,-79.401637,MID-BLOCK,NON INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,45 to 49,MAJOR,NORTH,BICYCLE,GOING AHEAD,,,,,,Insufficient information (to determine cyclist crash type).,Other,Had Been Drinking,"CYCLIST,AUTOMOBILE",,Waterfront Communities-The Island (77)
2015,2015-05-28 4:00:00 AM,1420,14,BATHURST ST,FRONT ST W,25 m South of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.641295,-79.401637,MID-BLOCK,NON INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,50 to 54,NONE,SOUTH,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Waterfront Communities-The Island (77)
2015,2015-06-13 4:00:00 AM,1423,14,FINCH AVE E,PAGE AVE,,MAJOR ARTERIAL,NORTH YORK,43.786685,-79.384326,INTERSECTION,AT INTERSECTION,STOP SIGN,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,85 to 89,NONE,NORTH,"AUTOMOBILE, STATION WAGON",TURNING RIGHT,FAILED TO YIELD RIGHT OF WAY,INATTENTIVE,,,,,,,"CYCLIST,AUTOMOBILE,PASSENGER",AGGRESIVE AND DISTRACTED,Bayview Village (52)
2015,2015-06-13 4:00:00 AM,1423,14,FINCH AVE E,PAGE AVE,,MAJOR ARTERIAL,NORTH YORK,43.786685,-79.384326,INTERSECTION,AT INTERSECTION,STOP SIGN,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,45 to 49,MAJOR,EAST,BICYCLE,GOING AHEAD,,,,,,"Motorist turns right at non-signal Inter.(stop, yield, no cont.,and dwy) and strikes cyclist.",Driving Properly,Normal,"CYCLIST,AUTOMOBILE,PASSENGER",AGGRESIVE AND DISTRACTED,Bayview Village (52)
2015,2015-06-13 4:00:00 AM,1423,14,FINCH AVE E,PAGE AVE,,MAJOR ARTERIAL,NORTH YORK,43.786685,-79.384326,INTERSECTION,AT INTERSECTION,STOP SIGN,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,PASSENGER,80 to 84,NONE,,,,,,,,,,,,"CYCLIST,AUTOMOBILE,PASSENGER",AGGRESIVE AND DISTRACTED,Bayview Village (52)
2008,2008-08-23 4:00:00 AM,1425,14,MILLWOOD RD,REDWAY RD,,MAJOR ARTERIAL,NORTH YORK,43.701845,-79.35819,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,25 to 29,NONE,NORTH,"AUTOMOBILE, STATION WAGON",TURNING LEFT,IMPROPER TURN,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Leaside-Bennington (56)
2008,2008-08-23 4:00:00 AM,1425,14,MILLWOOD RD,REDWAY RD,,MAJOR ARTERIAL,NORTH YORK,43.701845,-79.35819,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,45 to 49,MAJOR,SOUTH,BICYCLE,GOING AHEAD,,,,,,Motorist turned left across cyclists path.,Disobeyed Traffic Control,Normal,"CYCLIST,AUTOMOBILE",,Leaside-Bennington (56)
2013,2013-05-05 4:00:00 AM,1425,14,8 GARDEN PARK AVE,,,LOCAL,SCARBOROUGH,43.785245,-79.27169,MID-BLOCK,,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,65 to 69,NONE,SOUTH,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Agincourt South-Malvern West (128)
2013,2013-05-05 4:00:00 AM,1425,14,8 GARDEN PARK AVE,,,LOCAL,SCARBOROUGH,43.785245,-79.27169,MID-BLOCK,,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,5 to 9,MAJOR,EAST,BICYCLE,GOING AHEAD,,,,,,Cyclist rode off sidewalk into road at midblock.,Failed to Yield Right of Way,Inattentive,"CYCLIST,AUTOMOBILE",,Agincourt South-Malvern West (128)
2012,2012-03-28 4:00:00 AM,952,9,DUNDAS STRE W,SHAW STRE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.649844,-79.418292,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,unknown,NONE,UNKNOWN,"AUTOMOBILE, STATION WAGON",UNKNOWN,OTHER,UNKNOWN,,,,,,,"CYCLIST,AUTOMOBILE",,Trinity-Bellwoods (81)
2012,2012-03-28 4:00:00 AM,952,9,DUNDAS STRE W,SHAW STRE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.649844,-79.418292,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,30 to 34,MAJOR,EAST,BICYCLE,GOING AHEAD,,,,,,Insufficient information (to determine cyclist crash type).,Other,Unknown,"CYCLIST,AUTOMOBILE",,Trinity-Bellwoods (81)
2016,2016-12-06 5:00:00 AM,1535,15,BLOOR ST W,ALBANY AVE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.665316,-79.409953,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,65 to 69,MAJOR,WEST,BICYCLE,GOING AHEAD,,,,,,Motorist turned left across cyclists path.,Driving Properly,Normal,"CYCLIST,AUTOMOBILE",AGGRESIVE AND DISTRACTED,University (79)
2011,2011-11-25 5:00:00 AM,958,9,RICHMOND STRE E,YONGE STRE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.651645,-79.37899,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,VEHICLE OWNER,unknown,,,OTHER,,,,,,,,,,"CYCLIST,AUTOMOBILE,TRUCK",,Bay Street Corridor (76)
2011,2011-11-25 5:00:00 AM,958,9,RICHMOND STRE E,YONGE STRE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.651645,-79.37899,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,TRUCK DRIVER,35 to 39,NONE,WEST,TRUCK - OPEN,GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE,TRUCK",,Bay Street Corridor (76)
2011,2011-11-25 5:00:00 AM,958,9,RICHMOND STRE E,YONGE STRE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.651645,-79.37899,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,VEHICLE OWNER,unknown,,,OTHER,,,,,,,,,,"CYCLIST,AUTOMOBILE,TRUCK",,Bay Street Corridor (76)
